MATCH_DATE,IDENTITY_CODE,TEAM_1,GROUND,TEAM_2,WINNER_INNING,WINNER,HOST_COUNTRY
"Feb 22, 2015",ODI # 3610,South Africa,Melbourne,India,Winner1stInning,India,Australia
"Feb 28, 2015",ODI # 3618,U.A.E.,Perth,India,Winner2ndInning,India,Australia
"Mar 6, 2015",ODI # 3625,West Indies,Perth,India,Winner2ndInning,India,Australia
"Mar 10, 2015",ODI # 3631,Ireland,Hamilton,India,Winner2ndInning,India,New Zealand
"Mar 14, 2015",ODI # 3636,Zimbabwe,Auckland,India,Winner2ndInning,India,New Zealand
"Mar 19, 2015",ODI # 3641,Bangladesh,Melbourne,India,Winner1stInning,India,Australia
"Mar 26, 2015",ODI # 3645,Australia,Sydney,India,Winner1stInning,Australia,Australia
"Jun 18, 2015",ODI # 3658,Bangladesh,Dhaka,India,Winner1stInning,Bangladesh,Bangladesh
"Jun 21, 2015",ODI # 3660,Bangladesh,Dhaka,India,Winner2ndInning,Bangladesh,Bangladesh
"Jun 24, 2015",ODI # 3661,Bangladesh,Dhaka,India,Winner1stInning,India,Bangladesh
"Jul 10, 2015",ODI # 3662,Zimbabwe,Harare,India,Winner1stInning,India,Zimbabwe
"Jul 12, 2015",ODI # 3665,Zimbabwe,Harare,India,Winner1stInning,India,Zimbabwe
"Jul 14, 2015",ODI # 3667,Zimbabwe,Harare,India,Winner1stInning,India,Zimbabwe
"Oct 11, 2015",ODI # 3689,South Africa,Kanpur,India,Winner1stInning,South Africa,India
"Oct 14, 2015",ODI # 3692,South Africa,Indore,India,Winner1stInning,India,India
"Oct 18, 2015",ODI # 3695,South Africa,Rajkot,India,Winner1stInning,South Africa,India
"Oct 22, 2015",ODI # 3698,South Africa,Chennai,India,Winner1stInning,India,India
"Oct 25, 2015",ODI # 3700,South Africa,Mumbai,India,Winner1stInning,South Africa,India
"Jan 12, 2016",ODI # 3723,Australia,Perth,India,Winner2ndInning,Australia,Australia
"Jan 15, 2016",ODI # 3724,Australia,Brisbane,India,Winner2ndInning,Australia,Australia
"Jan 17, 2016",ODI # 3725,Australia,Melbourne,India,Winner2ndInning,Australia,Australia
"Jan 20, 2016",ODI # 3726,Australia,Canberra,India,Winner1stInning,Australia,Australia
"Jan 23, 2016",ODI # 3727,Australia,Sydney,India,Winner2ndInning,India,Australia
"Jun 11, 2016",ODI # 3742,Zimbabwe,Harare,India,Winner2ndInning,India,Zimbabwe
"Jun 13, 2016",ODI # 3744,Zimbabwe,Harare,India,Winner2ndInning,India,Zimbabwe
"Jun 15, 2016",ODI # 3746,Zimbabwe,Harare,India,Winner2ndInning,India,Zimbabwe
"Oct 16, 2016",ODI # 3796,New Zealand,Dharamsala,India,Winner2ndInning,India,India
"Oct 20, 2016",ODI # 3797,New Zealand,Delhi,India,Winner1stInning,New Zealand,India
"Oct 23, 2016",ODI # 3798,New Zealand,Mohali,India,Winner2ndInning,India,
"Oct 26, 2016",ODI # 3799,New Zealand,Ranchi,India,Winner1stInning,New Zealand,India
"Oct 29, 2016",ODI # 3800,New Zealand,Visakhapatnam,India,Winner1stInning,India,India
"Jan 15, 2017",ODI # 3819,England,Pune,India,Winner2ndInning,India,India
"Jan 19, 2017",ODI # 3821,England,Cuttack,India,Winner1stInning,India,India
"Jan 22, 2017",ODI # 3824,England,Kolkata,India,Winner1stInning,England,India
"Jun 4, 2017",ODI # 3878,Pakistan,Birmingham,India,Winner1stInning,India,England
"Jun 8, 2017",ODI # 3882,Sri Lanka,The Oval,India,Winner2ndInning,Sri Lanka,England
"Jun 11, 2017",ODI # 3886,South Africa,The Oval,India,Winner2ndInning,India,England
"Jun 15, 2017",ODI # 3891,Bangladesh,Birmingham,India,Winner2ndInning,India,England
"Jun 18, 2017",ODI # 3894,Pakistan,The Oval,India,Winner1stInning,Pakistan,England
"Jun 25, 2017",ODI # 3896,West Indies,Port of Spain,India,Winner1stInning,India,West Indies
"Jun 30, 2017",ODI # 3898,West Indies,North Sound,India,Winner1stInning,India,West Indies
"Jul 2, 2017",ODI # 3900,West Indies,North Sound,India,Winner1stInning,West Indies,West Indies
"Jul 6, 2017",ODI # 3902,West Indies,Kingston,India,Winner2ndInning,India,West Indies
"Aug 20, 2017",ODI # 3905,Sri Lanka,Dambulla,India,Winner2ndInning,India,Sri Lanka
"Aug 24, 2017",ODI # 3906,Sri Lanka,Pallekele,India,Winner2ndInning,India,
"Aug 27, 2017",ODI # 3907,Sri Lanka,Pallekele,India,Winner2ndInning,India,
"Aug 31, 2017",ODI # 3908,Sri Lanka,Colombo,India,Winner1stInning,India,Sri Lanka
"Sep 3, 2017",ODI # 3909,Sri Lanka,Colombo,India,Winner2ndInning,India,Sri Lanka
"Sep 17, 2017",ODI # 3910,Australia,Chennai,India,Winner1stInning,India,India
"Sep 21, 2017",ODI # 3912,Australia,Kolkata,India,Winner1stInning,India,India
"Sep 24, 2017",ODI # 3914,Australia,Indore,India,Winner2ndInning,India,India
"Sep 28, 2017",ODI # 3917,Australia,Bengaluru,India,Winner1stInning,Australia,India
"Oct 1, 2017",ODI # 3919,Australia,Nagpur,India,Winner2ndInning,India,India
"Oct 22, 2017",ODI # 3928,New Zealand,Mumbai,India,Winner2ndInning,New Zealand,India
"Oct 25, 2017",ODI # 3931,New Zealand,Pune,India,Winner2ndInning,India,India
"Oct 29, 2017",ODI # 3932,New Zealand,Kanpur,India,Winner1stInning,India,India
